Lat,Lon,Title,Province/State,X.1,Country/Region,Confirmed,Deaths,Recovered
-31.8759835,147.2869493,"New South Wales, Australia",New South Wales,", ",Australia,6,0,0
-30.5343665,135.6301212,"South Australia, Australia",South Australia,", ",Australia,3,0,0
-36.5986096,144.6780052,"Victoria, Australia",Victoria,", ",Australia,9,0,0
-22.1646782,144.5844903,"Queensland, Australia",Queensland,", ",Australia,9,0,0
-25.2303005,121.0187246,"Western Australia, Australia",Western Australia,", ",Australia,2,0,0
-37.8947649,145.0768606,"Australia, City NA",Australia,", ",City NA,12,1,21
48.9467562,11.4038717,"Bavaria, Germany",Bavaria,", ",Germany,37,0,13
52.8398531,9.075962,"Lower Saxony, Germany",Lower Saxony,", ",Germany,2,0,2
48.6296972,9.1949534,"Baden-Württemberg, Germany",Baden-Württemberg,", ",Germany,28,0,0
51.4781796,7.5542336,"North Rhine-Westphalia, Germany",North Rhine-Westphalia,", ",Germany,103,0,1
50.7333163,11.0747905,"Thuringia , Germany",Thuringia ,", ",Germany,1,0,0
52.8455492,13.2461296,"Brandenburg, Germany",Brandenburg,", ",Germany,1,0,0
50.6118537,9.1909725,"Hesse, Germany",Hesse,", ",Germany,12,0,0
53.550341,10.000654,"Hamburg, Germany",Hamburg,", ",Germany,2,0,0
49.9531599,7.310646,"Rhineland-Palatinate, Germany",Rhineland-Palatinate,", ",Germany,2,0,0
50.9295798,13.4585052,"Sachsen, Germany",Sachsen,", ",Germany,1,0,0
54.1853998,9.8220089,"Schleswig-Holstein, Germany",Schleswig-Holstein,", ",Germany,2,0,0
52.5170365,13.3888599,"Berlin, Germany",Berlin,", ",Germany,3,0,0
51.4781796,7.5542336,"Germany, City NA",Germany,", ",City NA,7,0,0
53.0758196,8.8071646,"Bremen, Germany",Bremen,", ",Germany,2,0,0
60.1674098,24.9425769,"Helsinki, Finland",Helsinki,", ",Finland,6,0,1
66.4976214,25.7192101,"Rovaniemi, Finland",Rovaniemi,", ",Finland,1,0,0
25.2657296,55.3121813,"United Arab Emirates , City NA",United Arab Emirates ,", ",City NA,27,0,5
10.3528744,76.5120396,"Kerala, India",Kerala,", ",India,3,0,3
28.6141793,77.2022662,"New Delhi, India",New Delhi,", ",India,18,0,0
27.1752554,78.0098161,"Agra, India",Agra,", ",India,6,0,0
17.3887859,78.4610647,"Hyderabad, India",Hyderabad,", ",India,1,0,0
10.264054,123.869396,"Central Visayas, Philippines",Central Visayas,", ",Philippines,1,0,1
14.6887568,121.0764837,"Philippines, City NA",Philippines,", ",City NA,2,1,0
41.8933203,12.4829321,"Rome, Italy",Rome,", ",Italy,2,0,2
45.6476663,11.8665254,"Veneto, Italy",Veneto,", ",Italy,273,2,3
44.525696,11.039437,"Emilia Romagna, Italy",Emilia Romagna,", ",Italy,335,1,0
45.0522,7.5154,"Piedmont, Italy",Piedmont,", ",Italy,51,0,0
45.6209,9.768893,"Lombardy, Italy",Lombardy,", ",Italy,1254,26,42
41.9808038,12.7662312,"Lazio , Italy",Lazio ,", ",Italy,7,0,3
37.587794,14.155048,"Sicily, Italy",Sicily,", ",Italy,7,0,0
43.4586541,11.1389204,"Tuscany, Italy",Tuscany,", ",Italy,13,0,0
44.4777617,8.7026296,"Liguria , Italy",Liguria ,", ",Italy,22,0,0
